Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),engine_no
Maruti Brezza,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,E,18.9,14.2,16.8,17,269,42610
Mahindra Thar,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.6,10.3,12.7,22,292,46756
Mahindra XUV700,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.5,13.7,16.9,17,270,76733
Mahindra Scorpio-N,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,16.3,11.4,14.1,20,324,61803
Toyota Fortuner,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,X,14.2,10.6,12.6,22,290,95743
Hyundai Creta,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,E,20,15.1,17.8,16,285,22039
Tata Punch,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.9,10.6,13,22,299,77359
Mahindra Bolero,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.9,14.2,17.3,16,277,77634
Maruti Swift,SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,16.4,11.7,14.3,20,329,70356
Tata Nexon,SONIC,COMPACT,1.4,4,AS6,X,9.1,6.7,8,35,184,59302
Hyundai Venue,SONIC,COMPACT,1.4,4,M6,X,8.5,6.2,7.5,38,173,52700
Kia Seltos,SONIC,COMPACT,1.8,4,AS6,X,9.6,6.6,8.3,34,191,62467
Hyundai Tucson,SONIC,COMPACT,1.8,4,M5,X,8.9,6.7,7.9,36,182,99504
Tata Harrier,SONIC RS,COMPACT,1.4,4,AS6,X,9.4,7,8.3,34,191,90042
Maruti Baleno,SONIC RS,COMPACT,1.4,4,M6,X,8.8,7,8,35,184,20194
Toyota Innova Crysta,SONIC 5,MID-SIZE,1.4,4,AS6,X,9.1,6.7,8,35,184,63114
Maruti Ertiga,SONIC 5,MID-SIZE,1.4,4,M6,X,8.5,6.2,7.5,38,172,94913
Kia Sonet,SONIC 5,MID-SIZE,1.8,4,AS6,X,9.6,6.6,8.3,34,191,63950
Maruti Dzire,SONIC 5,MID-SIZE,1.8,4,M5,X,8.9,6.7,7.9,36,182,91864
Honda City 4th Generation,SONIC 5 RS,MID-SIZE,1.4,4,AS6,X,9.4,7,8.3,34,191,49625
Land Rover Range Rover,SONIC 5 RS,MID-SIZE,1.4,4,M6,X,8.8,7,8,35,184,26653
Tata Tiago,SPARK,SUBCOMPACT,1.2,4,AV,X,7.7,6,6.9,41,159,20876
Hyundai i20,SPARK,SUBCOMPACT,1.2,4,M5,X,7.6,6,6.9,41,159,71869
Mahindra XUV300,SUBURBAN,SUV - STANDARD,5.3,8,A6,X,16,11.1,13.8,20,317,84034
MG Hector,SUBURBAN,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294,83145
Tata Altroz,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,X,16,11.1,13.8,20,317,19715
Mahindra Scorpio Classic,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294,74148
Hyundai Verna,TAHOE,SUV - STANDARD,5.3,8,A6,X,16,11.1,13.8,20,317,25721
Citroen C3,TAHOE,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294,73993
Honda City,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,X,16,11.1,13.8,20,317,94772
Maruti Celerio,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294,90092
Nissan Magnite,TRAVERSE,SUV - STANDARD,3.6,6,A6,X,14.3,9.9,12.3,23,283,78788
Renault KWID,TRAVERSE AWD,SUV - STANDARD,3.6,6,A6,X,14.6,10.2,12.6,22,290,27652
Land Rover Defender,TRAX,SUV - SMALL,1.4,4,AS6,X,9.4,7.1,8.4,34,193,88509
Maruti Alto 800,TRAX,SUV - SMALL,1.4,4,M6,X,9.1,6.8,8.1,35,186,60433
Hyundai Kona Electric,TRAX AWD,SUV - SMALL,1.4,4,AS6,X,10,7.8,9,31,207,38220
Tata Tigor,300,FULL-SIZE,3.6,6,A8,X,12.4,7.7,10.3,27,237,26615
Renault Kiger,200 CONVERTIBLE,COMPACT,2.4,4,A4,X,11.7,8.2,10.1,28,232,30443
Maruti S-Presso,200 CONVERTIBLE,COMPACT,2.4,4,A6,X,12.9,8.1,10.7,26,246,69513
MG Astor,200 CONVERTIBLE FFV,COMPACT,3.6,6,A6,X,12.5,8.1,10.5,27,242,75338
Lamborghini Urus,200 CONVERTIBLE FFV,COMPACT,3.6,6,A6,E,17,11.2,14.4,20,230,77023
Honda Amaze,200 SEDAN,MID-SIZE,2.4,4,A4,X,11.2,8,9.8,29,225,41132
Renault Triber,200 SEDAN,MID-SIZE,2.4,4,A6,X,12,7.6,10,28,230,15680
Hyundai Alcazar,200 SEDAN FFV,MID-SIZE,3.6,6,A6,X,12.5,8.1,10.5,27,242,31854
Hyundai Aura,200 SEDAN FFV,MID-SIZE,3.6,6,A6,E,17,11.2,14.4,20,230,77910
Volkswagen Virtus,300 (MDS),FULL-SIZE,5.7,8,A5,X,15.8,9.2,12.8,22,294,72036
Skoda Slavia,300 AWD,FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251,74519
Maruti Ignis,300 AWD (MDS),FULL-SIZE,5.7,8,A5,X,16.1,10,13.4,21,308,87868
Mercedes-Benz GLA,300 AWD FFV,FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251,26820
Volvo XC90,300 AWD FFV,FULL-SIZE,3.6,6,A8,E,17.3,11.7,14.8,19,237,41535
Skoda Kushaq,300 FFV,FULL-SIZE,3.6,6,A8,X,12.4,7.7,10.3,27,237,68306
Maruti XL6,300 FFV,FULL-SIZE,3.6,6,A8,E,16.8,10.3,13.9,20,222,29524
Jeep Wrangler,300 SRT (MDS),FULL-SIZE,6.4,8,A5,Z,16.7,10.3,13.8,20,317,43572
Maruti Eeco,TOWN & COUNTRY FFV,MINIVAN,3.6,6,A6,X,14.1,9.5,12,24,276,81349
Force Gurkha,TOWN & COUNTRY FFV,MINIVAN,3.6,6,A6,E,19.7,13.3,16.8,17,269,79545
Maruti S-Cross,AVENGER,MID-SIZE,2.4,4,A4,X,11.2,8,9.8,29,225,27149
Maruti Ciaz,AVENGER,MID-SIZE,2.4,4,A6,X,12,7.6,10,28,230,25102
Hyundai Santro,AVENGER FFV,MID-SIZE,3.6,6,A6,X,12.5,8.1,10.5,27,242,17647
Volkswagen Taigun,AVENGER FFV,MID-SIZE,3.6,6,A6,E,17,11.2,14.4,20,230,92919
BMW X7,CHALLENGER,MID-SIZE,3.6,6,A5,X,13.2,8.7,11.2,25,258,17037
Audi Q7,CHALLENGER,MID-SIZE,5.7,8,M6,X,15.6,10,13.1,22,301,81413
Toyota Vellfire,CHALLENGER (MDS),MID-SIZE,5.7,8,A5,X,15.8,9.2,12.8,22,294,96042
Toyota Hilux,CHALLENGER SRT,MID-SIZE,6.4,8,M6,Z,16.8,10.4,13.9,20,320,79140
MG Gloster,CHALLENGER SRT (MDS),MID-SIZE,6.4,8,A5,Z,16.7,10.3,13.8,20,317,74673
Lamborghini Aventador,CHARGER,FULL-SIZE,3.6,6,A5,X,13.2,8.7,11.2,25,258,64935
BMW X1,CHARGER,FULL-SIZE,3.6,6,A8,X,12.4,7.7,10.3,27,237,39068
BMW X5,CHARGER (MDS),FULL-SIZE,5.7,8,A5,X,15.8,9.2,12.8,22,294,28580
Toyota Camry,CHARGER AWD,FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251,18011
Volkswagen Tiguan,CHARGER AWD (MDS),FULL-SIZE,5.7,8,A5,X,16.1,10,13.4,21,308,80621
Rolls-Royce Ghost,CHARGER AWD FFV,FULL-SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251,87132
Skoda Octavia,CHARGER AWD FFV,FULL-SIZE,3.6,6,A8,E,17.3,11.7,14.8,19,237,35674
Skoda Superb,CHARGER FFV,FULL-SIZE,3.6,6,A5,X,13.2,8.7,11.2,25,258,56270
Audi A6,CHARGER FFV,FULL-SIZE,3.6,6,A5,E,18.3,12.6,15.7,18,251,65646
Volvo XC40,CHARGER FFV,FULL-SIZE,3.6,6,A8,X,12.3,7.6,10.2,28,235,15048
Kia EV6,CHARGER FFV,FULL-SIZE,3.6,6,A8,E,16.8,10.3,13.9,20,222,41763
Volvo S90,CHARGER SRT (MDS),FULL-SIZE,6.4,8,A5,Z,16.7,10.3,13.8,20,317,31468
Honda Jazz,DART,MID-SIZE,2,4,M6,X,9.4,6.5,8.1,35,186,84179
Land Rover Range Rover Velar,DART,MID-SIZE,2.4,4,A6,X,10.1,6.8,8.6,33,198,91009
Honda WR-V,DART,MID-SIZE,2.4,4,M6,X,10.5,6.7,8.8,32,202,85124
Volvo XC60,DART FFV,MID-SIZE,2,4,A6,X,9.9,7,8.6,33,198,81457
Skoda Kodiaq,DART FFV,MID-SIZE,2,4,A6,E,14.2,9.8,12.2,23,195,86285
Audi A4,DART GT,MID-SIZE,2.4,4,A6,X,10.6,7.5,9.2,31,212,99961
BMW X3,DART GT,MID-SIZE,2.4,4,M6,X,10.2,7,8.8,32,202,69507
BMW Z4,DART TURBO AERO,MID-SIZE,1.4,4,AM6,X,8.4,5.9,7.3,39,168,52163
BMW 3 Series Gran Limousine,DART TURBO AERO,MID-SIZE,1.4,4,M6,X,8.5,5.8,7.3,39,168,89029
Nissan Kicks,DURANGO AWD (MDS),SUV - STANDARD,5.7,8,A8,X,17.3,10.8,14.4,20,331,34842
Mahindra Marazzo,DURANGO AWD FFV,SUV - STANDARD,3.6,6,A8,X,13.9,9.8,12.1,23,278,49263
Mercedes-Benz C-Class,DURANGO AWD FFV,SUV - STANDARD,3.6,6,A8,E,17.7,13,15.6,18,250,43701
BMW X6,GRAND CARAVAN FFV,MINIVAN,3.6,6,A6,X,13.7,9.4,11.8,24,271,89116
Mahindra Alturas G4,GRAND CARAVAN FFV,MINIVAN,3.6,6,A6,E,19.2,13.1,16.5,17,264,78916
Bajaj Qute (RE60),JOURNEY,SUV - SMALL,2.4,4,A4,X,12.7,9.1,11.1,25,255,30728
Volkswagen Vento,JOURNEY AWD,SUV - SMALL,3.6,6,A6,X,14.5,9.9,12.4,23,285,61812
Audi Q5,JOURNEY FFV,SUV - SMALL,3.6,6,A6,X,14.2,9.4,12,24,276,51496
Ferrari Roma,JOURNEY FFV,SUV - SMALL,3.6,6,A6,E,18.9,12.9,16.2,17,259,76982
MG ZS EV,500 ABARTH CABRIO,MINICOMPACT,1.4,4,M5,X,8.5,6.9,7.8,36,179,93960
BMW 7 Series,500 ABARTH HATCHBACK,MINICOMPACT,1.4,4,M5,X,8.5,6.9,7.8,36,179,34558
Mercedes-Benz E-Class,500 CABRIO,MINICOMPACT,1.4,4,A6,X,8.7,6.9,7.9,36,182,76243
BMW i4,500 CABRIO,MINICOMPACT,1.4,4,M5,X,7.9,6.3,7.2,39,166,82156
Land Rover Range Rover Sport,500 CABRIO TURBO,MINICOMPACT,1.4,4,M5,X,8.5,6.9,7.8,36,179,32653
Jaguar F-TYPE,500 HATCHBACK,MINICOMPACT,1.4,4,A6,X,8.7,6.9,7.9,36,182,38891
Datsun redi-GO,500 HATCHBACK,MINICOMPACT,1.4,4,M5,X,7.6,5.9,6.8,42,156,62888
BMW 2 Series,500 HATCHBACK TURBO,MINICOMPACT,1.4,4,M5,X,8.5,6.9,7.8,36,179,25673
Isuzu D-Max,500L TURBO,STATION WAGON - SMALL,1.4,4,AM6,X,10,7.2,8.7,32,200,86858
BMW 5 Series,500L TURBO,STATION WAGON - SMALL,1.4,4,M6,X,9.3,7.2,8.4,34,193,51429
Audi Q2,C-MAX HYBRID,FULL-SIZE,2,4,AV,X,5.6,6.4,6,47,138,46231
Mercedes-Benz GLS,E150 VAN FFV,VAN - CARGO,4.6,8,A4,X,17.7,14.4,16.2,17,373,84084
Porsche Cayenne,E150 VAN FFV,VAN - CARGO,4.6,8,A4,E,24.1,19.2,21.9,13,350,99970
Citroen C5 Aircross,E150 VAN FFV,VAN - CARGO,5.4,8,A4,X,19.3,14.7,17.2,16,396,57682
Datsun GO,E150 VAN FFV,VAN - CARGO,5.4,8,A4,E,24.9,19.6,22.5,13,360,32500
Volvo S60,E150 WAGON FFV,VAN - PASSENGER,4.6,8,A4,X,18.6,14.6,16.8,17,386,55340
Porsche Macan,E150 WAGON FFV,VAN - PASSENGER,4.6,8,A4,E,25.5,20,23,12,368,87828
Jaguar XE,E350 WAGON,VAN - PASSENGER,6.8,10,A5,X,23.9,17.8,21.2,13,488,85925
BYD E6,E350 WAGON FFV,VAN - PASSENGER,5.4,8,A4,X,20.6,15.5,18.3,15,421,90615
Jaguar F-Pace,E350 WAGON FFV,VAN - PASSENGER,5.4,8,A4,E,26.7,20.5,23.9,12,382,83447
Tata Tiago NRG,EDGE,SUV - SMALL,2,4,A6,X,11.3,7.9,9.8,29,225,46300
Mahindra KUV 100 NXT,EDGE,SUV - SMALL,3.5,6,AS6,X,12.6,8.7,10.8,26,248,30730
Mini Cooper SE,EDGE AWD,SUV - SMALL,3.5,6,AS6,X,13.3,9.3,11.5,25,264,97058
Audi e-tron,EDGE AWD,SUV - SMALL,3.7,6,AS6,X,13.7,10.4,12.2,23,281,66291
Datsun GO Plus,ESCAPE,SUV - SMALL,1.6,4,AS6,X,10.4,7.4,9.1,31,209,62462
Mercedes-Benz AMG G 63,ESCAPE,SUV - SMALL,2,4,AS6,X,10.9,8,9.6,29,221,15287
Mercedes-Benz AMG GT,ESCAPE,SUV - SMALL,2.5,4,AS6,X,10.9,7.5,9.4,30,216,27262
Lexus ES,ESCAPE AWD,SUV - SMALL,1.6,4,AS6,X,10.5,7.9,9.3,30,214,80043
Porsche Taycan,ESCAPE AWD,SUV - SMALL,2,4,AS6,X,11.2,8.5,10,28,230,18445
Lexus LS,EXPEDITION 4X4 FFV,SUV - STANDARD,5.4,8,A6,X,18.2,13.3,16,18,368,75645
Rolls-Royce Cullinan,EXPEDITION 4X4 FFV,SUV - STANDARD,5.4,8,A6,E,24.5,18,21.6,13,346,94562
Isuzu MU-X,EXPLORER,SUV - STANDARD,2,4,A6,X,11.8,8.3,10.2,28,235,93476
BMW iX,EXPLORER AWD,SUV - STANDARD,3.5,6,AS6,X,14.8,10.7,13,22,299,27858
Bentley Flying Spur,EXPLORER FFV,SUV - STANDARD,3.5,6,AS6,X,13.7,9.7,11.9,24,274,47945
Mercedes-Benz S-Class,EXPLORER FFV,SUV - STANDARD,3.5,6,AS6,E,18.3,12.9,15.9,18,254,63175
Maserati Quattroporte,EXPLORER FFV AWD,SUV - STANDARD,3.5,6,AS6,X,14.3,10.3,12.5,23,288,77151
Jaguar XF,EXPLORER FFV AWD,SUV - STANDARD,3.5,6,AS6,E,18.9,13.9,16.7,17,267,49680
Mercedes-Benz GLC,F-150,PICKUP TRUCK - STANDARD,3.5,6,A6,X,14.5,10.6,12.7,22,292,59012
Ferrari Portofino,F-150,PICKUP TRUCK - STANDARD,3.5,6,AS6,X,14.6,10.6,12.8,22,294,55831
Mercedes-Benz Maybach S-Class,F-150,PICKUP TRUCK - STANDARD,6.2,8,AS6,X,18.3,12.9,15.9,18,366,65786
Maserati Levante,F-150 4X4,PICKUP TRUCK - STANDARD,3.5,6,A6,X,15.9,11.3,13.8,20,317,54337
Tata Yodha Pickup,F-150 4X4,PICKUP TRUCK - STANDARD,3.5,6,AS6,X,15.4,11,13.4,21,308,35249
Aston Martin DBX,F-150 4X4,PICKUP TRUCK - STANDARD,6.2,8,AS6,X,20.1,14.4,17.5,16,402,57977
Bentley Continental,F-150 FFV,PICKUP TRUCK - STANDARD,3.7,6,A6,X,14,10.3,12.3,23,283,28541
Mercedes-Benz EQS,F-150 FFV,PICKUP TRUCK - STANDARD,3.7,6,A6,E,18.8,13.7,16.5,17,264,25041
Ferrari 812,F-150 FFV,PICKUP TRUCK - STANDARD,3.7,6,AS6,X,14,10.3,12.3,23,283,34721
Audi RS7,F-150 FFV,PICKUP TRUCK - STANDARD,3.7,6,AS6,E,18.8,13.7,16.5,17,264,44892
Mercedes-Benz AMG GLE 63 S,F-150 FFV,PICKUP TRUCK - STANDARD,5,8,A6,X,16.4,12.3,14.6,19,336,92959
Mclaren GT,F-150 FFV,PICKUP TRUCK - STANDARD,5,8,A6,E,22.1,16.7,19.7,14,315,24377
Mercedes-Benz G-Class,F-150 FFV,PICKUP TRUCK - STANDARD,5,8,AS6,X,16.4,12.3,14.6,19,336,90126
Nissan GT-R,F-150 FFV,PICKUP TRUCK - STANDARD,5,8,AS6,E,22.1,16.7,19.7,14,315,85066
BMW M2,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6,A6,X,15,11.4,13.4,21,308,87102
Mahindra E Verito,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6,A6,E,20.2,15.3,18,16,288,84703
Rolls Royce Wraith,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6,AS6,X,15,11.4,13.4,21,308,89082
Mercedes-Benz V-Class,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6,AS6,E,20.2,15.3,18,16,288,57083
Porsche 911,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5,8,A6,X,16.8,12.6,14.9,19,343,43765
Porsche Panamera,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5,8,A6,E,22.4,17,20,14,320,32250
Mini Cooper Convertible,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5,8,AS6,X,16.7,12.5,14.8,19,340,62250
Maserati Ghibli,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5,8,AS6,E,22.4,16.9,19.9,14,318,65462
Lexus NX,F-150 RAPTOR 4X4,PICKUP TRUCK - STANDARD,6.2,8,AS6,X,20.4,15,18,16,414,42562
Land Rover Discovery Sport,FIESTA,SUBCOMPACT,1.6,4,AS6,X,8.5,6.5,7.6,37,175,47616
Maruti Alto K10,FIESTA,SUBCOMPACT,1.6,4,M5,X,8.6,6.4,7.6,37,175,47650
Maruti Brezza,FIESTA SFE,SUBCOMPACT,1,4,M5,X,7.5,5.5,6.6,43,152,20260
Mahindra Thar,FIESTA SFE,SUBCOMPACT,1.6,4,AS6,X,8,5.8,7,40,161,93645
Mahindra XUV700,FIESTA ST,COMPACT,1.6,4,M6,X,8.9,6.8,8,35,184,87463
Mahindra Scorpio-N,FLEX,SUV - STANDARD,3.5,6,AS6,X,13.2,9.4,11.5,25,264,78648
Toyota Fortuner,FLEX AWD,SUV - STANDARD,3.5,6,AS6,X,13.7,10.2,12.1,23,278,81550
Hyundai Creta,FLEX AWD (EcoBoost),SUV - STANDARD,3.5,6,AS6,X,14.8,10.4,12.8,22,294,66437
Tata Punch,FOCUS,COMPACT,2,4,M6,X,10.2,7.4,8.9,32,205,59233
Mahindra Bolero,FOCUS FFV,COMPACT,2,4,A6,X,8.8,6.4,7.7,37,177,22207
Maruti Swift,FOCUS FFV,COMPACT,2,4,A6,E,11.7,8.5,10.3,27,165,64251
Tata Nexon,FOCUS FFV,COMPACT,2,4,AS6,X,8.9,6.4,7.8,36,179,88328
Hyundai Venue,FOCUS FFV,COMPACT,2,4,AS6,E,11.7,8.5,10.3,27,165,60473
Kia Seltos,FOCUS FFV,COMPACT,2,4,M5,X,9.1,6.6,8,35,184,88155
Hyundai Tucson,FOCUS FFV,COMPACT,2,4,M5,E,11.9,8.9,10.6,27,170,81913
Tata Harrier,FOCUS SFE FFV,COMPACT,2,4,A6,X,8.4,5.8,7.2,39,166,18337
Maruti Baleno,FOCUS SFE FFV,COMPACT,2,4,A6,E,11.6,8.3,10.1,28,162,85524
Toyota Innova Crysta,FUSION,MID-SIZE,1.5,4,AS6,X,10.1,6.6,8.5,33,196,93350
Maruti Ertiga,FUSION,MID-SIZE,1.6,4,M6,X,9.4,6.4,8.1,35,186,24434
Kia Sonet,FUSION,MID-SIZE,2,4,AS6,X,10.5,7.1,9,31,207,41947
Maruti Dzire,FUSION,MID-SIZE,2.5,4,AS6,X,10.5,7,8.9,32,205,17654
Honda City 4th Generation,FUSION (Start/Stop),MID-SIZE,1.5,4,AS6,X,9.5,6.3,8.1,35,186,40735
Land Rover Range Rover,FUSION AWD,MID-SIZE,2,4,AS6,X,10.9,7.5,9.4,30,216,62569
Tata Tiago,FUSION HYBRID,MID-SIZE,2,4,AV,X,5.3,5.7,5.5,51,126,56534
Hyundai i20,MUSTANG,SUBCOMPACT,3.7,6,A6,X,12.1,7.8,10.2,28,235,91085
Mahindra XUV300,MUSTANG,SUBCOMPACT,3.7,6,M6,X,12.7,8.1,10.6,27,244,99568
MG Hector,MUSTANG,SUBCOMPACT,5,8,A6,X,13.3,9.3,11.5,25,264,64822
Tata Altroz,MUSTANG,SUBCOMPACT,5,8,M6,X,15.4,9.4,12.7,22,292,23171
Mahindra Scorpio Classic,MUSTANG,SUBCOMPACT,5.8,8,M6,Z,15.9,9.9,13.2,21,304,98195
Hyundai Verna,MUSTANG CONVERTIBLE,SUBCOMPACT,3.7,6,A6,X,12.5,8.2,10.6,27,244,48988
Citroen C3,TAURUS,FULL-SIZE,2,4,AS6,X,10.5,7.3,9.1,31,209,33333
Honda City,TAURUS AWD,FULL-SIZE,3.5,6,AS6,X,13.7,9.4,11.8,24,271,28947
Maruti Celerio,TAURUS FFV,FULL-SIZE,3.5,6,AS6,X,12.1,8.1,10.3,27,237,41832
Nissan Magnite,TAURUS FFV,FULL-SIZE,3.5,6,AS6,E,17,11.1,14.3,20,229,81036
Renault KWID,TAURUS FFV AWD,FULL-SIZE,3.5,6,AS6,X,13,9.1,11.2,25,258,25357
Land Rover Defender,TAURUS FFV AWD,FULL-SIZE,3.5,6,AS6,E,18.4,12.5,15.7,18,251,33620
Maruti Alto 800,TRANSIT CONNECT,SPECIAL PURPOSE VEHICLE,1.6,4,AS6,X,10.8,8,9.5,30,218,20842
Hyundai Kona Electric,TRANSIT CONNECT,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,X,11.3,8.2,9.9,29,228,63092
Tata Tigor,TRANSIT CONNECT TAXI,SPECIAL PURPOSE VEHICLE,1.6,4,AS6,X,11.5,8.3,10.1,28,232,35751
Renault Kiger,TRANSIT CONNECT WAGON,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,X,11.9,8.5,10.4,27,239,83691
Maruti S-Presso,ACADIA,SUV - STANDARD,3.6,6,A6,X,14.3,9.9,12.3,23,283,71545
MG Astor,ACADIA AWD,SUV - STANDARD,3.6,6,A6,X,14.9,10.4,12.9,22,297,41253
Lamborghini Urus,SAVANA 1500 CARGO,VAN - CARGO,4.3,6,A4,X,17.1,12.7,15.1,19,347,21765
Honda Amaze,SAVANA 1500 CARGO,VAN - CARGO,5.3,8,A4,X,18,13.4,15.9,18,366,26427
Renault Triber,SAVANA 1500 CARGO,VAN - CARGO,5.3,8,A4,E,23.5,17.7,20.9,14,334,33708
Hyundai Alcazar,SAVANA 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,X,18.3,14.2,16.5,17,380,19419
Hyundai Aura,SAVANA 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,E,23.7,18.8,21.5,13,344,17447
Volkswagen Virtus,SAVANA 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,X,18.6,13.9,16.5,17,380,64317
Skoda Slavia,SAVANA 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,E,23.9,18.5,21.5,13,344,30621
Maruti Ignis,SAVANA 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,X,18.3,14.2,16.5,17,380,71648
Mercedes-Benz GLA,SAVANA 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,E,25.3,19.3,22.6,12,362,73742
Volvo XC90,SAVANA 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,X,18.6,13.9,16.5,17,380,30080
Skoda Kushaq,SAVANA 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,E,23.9,18.5,21.5,13,344,87087
Maruti XL6,SAVANA 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,X,18.3,14.2,16.5,17,380,84944
Jeep Wrangler,SAVANA 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,E,25.3,19.3,22.6,12,362,82421
Maruti Eeco,SAVANA 2500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.1,14.2,18,16,414,45051
Force Gurkha,SAVANA 2500 PASSENGER,VAN - PASSENGER,6,8,A6,X,21.9,15,18.8,15,432,77774
Maruti S-Cross,SAVANA 2500 PASSENGER,VAN - PASSENGER,6,8,A6,E,30,20.4,25.7,11,411,37970
Maruti Ciaz,SAVANA 3500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.3,14.3,18.2,16,419,78206
Hyundai Santro,SAVANA 3500 PASSENGER,VAN - PASSENGER,6,8,A6,X,22.1,15,18.9,15,435,41394
Volkswagen Taigun,SAVANA 3500 PASSENGER,VAN - PASSENGER,6,8,A6,E,30.2,20.5,25.8,11,413,74023
BMW X7,SIERRA,PICKUP TRUCK - STANDARD,4.3,6,A6,X,13.4,9.9,11.8,24,271,90295
Audi Q7,SIERRA,PICKUP TRUCK - STANDARD,4.3,6,A6,E,18.9,14.2,16.8,17,269,36903
Toyota Vellfire,SIERRA,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.6,10.3,12.7,22,292,47421
Toyota Hilux,SIERRA,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.5,13.7,16.9,17,270,55792
MG Gloster,SIERRA,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,16.3,11.4,14.1,20,324,66016
Lamborghini Aventador,SIERRA 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,X,14.2,10.6,12.6,22,290,97067
BMW X1,SIERRA 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,E,20,15.1,17.8,16,285,62557
BMW X5,SIERRA 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.9,10.6,13,22,299,91660
Toyota Camry,SIERRA 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.9,14.2,17.3,16,277,94147
Volkswagen Tiguan,SIERRA 4WD,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,16.4,11.7,14.3,20,329,38034
Rolls-Royce Ghost,TERRAIN,SUV - SMALL,2.4,4,A6,X,10.5,7.3,9.1,31,209,49198
Skoda Octavia,TERRAIN,SUV - SMALL,3.6,6,A6,X,13.9,9.6,12,24,276,87239
Skoda Superb,TERRAIN,SUV - SMALL,3.6,6,A6,E,18.8,13.1,16.2,17,259,16191
Audi A6,TERRAIN AWD,SUV - SMALL,2.4,4,A6,X,11.5,8.2,10,28,230,64773
Volvo XC40,TERRAIN AWD,SUV - SMALL,3.6,6,A6,X,14.8,9.9,12.6,22,290,88961
Kia EV6,TERRAIN AWD,SUV - SMALL,3.6,6,A6,E,19.8,13.6,17,17,272,92439
Volvo S90,YUKON,SUV - STANDARD,5.3,8,A6,X,16,11.1,13.8,20,317,85259
Honda Jazz,YUKON,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294,21961
Land Rover Range Rover Velar,YUKON 4WD,SUV - STANDARD,5.3,8,A6,X,16,11.1,13.8,20,317,65877
Honda WR-V,YUKON 4WD,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294,24765
